 		 Inside Next Frame Transformation Method
  			(x, y, angle values Respectively)

-0.151631	-0.195245	-0.000168261
-1.58938	0.08284	-0.000537679
-2.35372	-0.184697	-0.000373724
-2.27551	0.676245	-0.000745725
-1.804	1.27563	-0.00138244
-1.06123	1.7806	-0.00149046
-0.474701	2.26007	-0.00178303
-0.311255	2.03655	-0.00174427
0.157096	1.57512	-0.00119919
0.98834	1.33411	-0.00119417
1.89409	1.42463	-0.00137082
2.25635	0.550578	-0.00170717
3.37348	-0.681295	-0.00136984
4.97303	-1.05263	-0.00122586
6.96957	-1.4202	-0.000733346
9.17673	-1.95262	-0.000561617
10.3344	-1.81861	-0.00057379
11.1525	-1.83962	-0.000199328
11.7205	-1.63794	-0.000595816
12.3037	-2.05157	-0.000451911
14.955	-2.06634	-0.000238646
18.8851	-1.80877	-0.000436514
20.2857	-2.54527	0.000382456
20.3125	-1.91293	0.000921711
16.1353	-1.66167	0.000131523
13.4479	-0.808578	0.000273591
11.9989	0.133663	0.000204254
12.5063	1.25817	0.000344871
12.3069	0.236	0.00162919
7.49946	-0.421711	0.00137061
10.0925	0.359708	0.00127192
11.1936	1.90778	0.000987545
11.0839	2.88536	0.00122933
15.7259	6.8932	0.00158729
15.0911	9.82707	0.00274654
8.73891	6.13068	0.00286101
5.86312	4.40018	0.00211952
2.49807	2.37534	0.00131458
0.936268	1.02095	0.000619709
0.481423	2.20843	0.000250223
-2.47577	0.799497	0.000100266
-4.61193	-0.322558	0.000227959
-7.08919	-0.982896	0.000351594
-8.81378	-1.5184	0.000642063
-9.93819	-1.88362	0.000613965
-11.2462	-2.17518	0.000881112
-12.8794	-2.26078	0.000804943
-19.1296	-2.97792	0.000482921
-20.7817	-3.00534	0.000602861
-17.1408	-3.19541	0.000334524
-15.5987	-3.90933	0.000177305
-12.0649	-3.08741	6.07674e-005
-10.5507	-2.21303	-0.0007109
-14.0192	-3.37351	-0.00178069
-20.2955	-5.87955	-0.00336908
-16.7898	-4.00246	-0.0036387
-13.3883	-1.14014	-0.00363292
-11.5174	0.195843	-0.00352473
-14.2821	0.358581	-0.00391784
-11.8583	1.07629	-0.00286106
-8.62458	2.28084	-0.00197094
-5.77157	3.58617	-0.00101669
-4.43582	4.73367	-0.00059852
-4.80384	5.25308	-0.000715396
-4.5841	5.33497	-0.00089758
-3.91522	4.85513	-0.00152187
-3.41391	3.95487	-0.00169536
-1.8599	2.68481	-0.00113184
0.652811	2.78217	-0.00120984
2.17271	1.93446	-0.000709851
3.7472	-0.292641	0.00055284
4.56823	-1.42502	0.000565698
3.37778	-3.56328	0.00121194
3.59769	-6.12287	0.00224558
2.8938	-8.51219	0.00311106
4.0367	-19.3025	0.00540896
3.11683	-12.9049	0.00384254
3.81853	-3.40615	0.00254421
4.48748	-3.1318	0.00304928
8.39717	-4.55676	0.00471894
8.49726	-3.6807	0.00506827
7.56943	-3.0989	0.00369267
6.32531	-1.3464	0.00155645
4.40698	0.299583	0.000369864
3.26248	0.539952	0.000458844
2.70772	1.66282	0.0003946
1.71326	2.05564	0.000852579
1.31314	2.6095	0.000465826
0.238535	2.94145	9.41983e-005
-1.16808	3.66462	-2.98192e-005
-3.2626	3.85276	-0.000185062
-4.79503	3.98647	-0.000896917
-6.24816	4.29788	-0.00138074
-6.89826	3.09778	-0.00150545
-7.45276	3.31085	-0.00220819
-8.83555	1.6059	-0.00228401
-10.692	-0.595813	-0.00314087
-11.8818	-2.65958	-0.00393467
-12.0719	-4.02987	-0.00428245
-16.5401	-7.27443	-0.00569698
-20.0018	-9.33525	-0.00660253
-17.8941	-7.7099	-0.00502357
-14.807	-7.36915	-0.00307245
-5.92476	-2.78707	-0.000668357
-10.627	-3.566	-0.00202281
-13.0894	-3.87347	-0.00212578
-13.2079	-4.0353	-0.00237954
-12.1368	-3.73636	-0.00133744
-11.3944	-2.60816	-0.00194095
-9.63868	-2.21713	-0.00150515
-6.78732	-1.74757	-0.000939456
-3.1536	-0.812589	-0.000533123
0.733841	-0.0504742	0.000785508
5.32499	1.07664	0.00140216
9.54908	2.84347	0.0016453
11.2746	4.59537	0.00123713
10.9903	3.57879	0.00230049
12.1381	0.579344	0.00251387
14.8909	-0.0641082	0.00183081
