 		 Inside Get Image Trajectory Method
  			(x, y, angle values Respectively)

-0.151631	-0.195245	-0.000168261
-1.74101	-0.112405	-0.00070594
-4.09473	-0.297101	-0.00107966
-6.37023	0.379143	-0.00182539
-8.17424	1.65477	-0.00320783
-9.23546	3.43537	-0.0046983
-9.71017	5.69544	-0.00648133
-10.0214	7.73199	-0.0082256
-9.86432	9.3071	-0.00942479
-8.87598	10.6412	-0.010619
-6.9819	12.0658	-0.0119898
-4.72555	12.6164	-0.0136969
-1.35207	11.9351	-0.0150668
3.62096	10.8825	-0.0162926
10.5905	9.4623	-0.017026
19.7673	7.50968	-0.0175876
30.1016	5.69107	-0.0181614
41.2541	3.85145	-0.0183607
52.9746	2.21351	-0.0189565
65.2782	0.161934	-0.0194085
80.2332	-1.9044	-0.0196471
99.1183	-3.71317	-0.0200836
119.404	-6.25844	-0.0197012
139.716	-8.17138	-0.0187794
155.852	-9.83305	-0.0186479
169.3	-10.6416	-0.0183743
181.299	-10.508	-0.0181701
193.805	-9.24979	-0.0178252
206.112	-9.01379	-0.016196
213.611	-9.4355	-0.0148254
223.704	-9.0758	-0.0135535
234.897	-7.16802	-0.0125659
245.981	-4.28266	-0.0113366
261.707	2.61054	-0.00974932
276.798	12.4376	-0.00700279
285.537	18.5683	-0.00414177
291.4	22.9685	-0.00202225
293.898	25.3438	-0.000707667
294.834	26.3647	-8.79582e-005
295.316	28.5732	0.000162265
292.84	29.3727	0.00026253
288.228	29.0501	0.00049049
281.139	28.0672	0.000842084
272.325	26.5488	0.00148415
262.387	24.6652	0.00209811
251.141	22.49	0.00297922
238.261	20.2292	0.00378417
219.132	17.2513	0.00426709
198.35	14.246	0.00486995
181.209	11.0506	0.00520447
165.611	7.14124	0.00538178
153.546	4.05383	0.00544255
142.995	1.8408	0.00473165
128.976	-1.53272	0.00295096
108.68	-7.41226	-0.000418122
91.8905	-11.4147	-0.00405682
78.5022	-12.5549	-0.00768974
66.9847	-12.359	-0.0112145
52.7026	-12.0004	-0.0151323
40.8444	-10.9241	-0.0179934
32.2198	-8.64331	-0.0199643
26.4482	-5.05714	-0.020981
22.0124	-0.323461	-0.0215795
17.2085	4.92962	-0.0222949
12.6244	10.2646	-0.0231925
8.70922	15.1197	-0.0247144
5.29531	19.0746	-0.0264097
3.43541	21.7594	-0.0275416
4.08822	24.5416	-0.0287514
6.26094	26.476	-0.0294613
10.0081	26.1834	-0.0289084
14.5764	24.7584	-0.0283427
17.9541	21.1951	-0.0271308
21.5518	15.0722	-0.0248852
24.4456	6.56001	-0.0217741
28.4823	-12.7425	-0.0163652
31.5992	-25.6474	-0.0125227
35.4177	-29.0536	-0.00997844
39.9052	-32.1854	-0.00692916
48.3024	-36.7421	-0.00221022
56.7996	-40.4228	0.00285804
64.369	-43.5217	0.00655071
70.6943	-44.8681	0.00810716
75.1013	-44.5685	0.00847702
78.3638	-44.0286	0.00893587
81.0715	-42.3658	0.00933047
82.7848	-40.3101	0.010183
84.0979	-37.7006	0.0106489
84.3365	-34.7592	0.0107431
83.1684	-31.0946	0.0107133
79.9058	-27.2418	0.0105282
75.1108	-23.2553	0.00963127
68.8626	-18.9574	0.00825054
61.9643	-15.8597	0.00674509
54.5116	-12.5488	0.0045369
45.676	-10.9429	0.00225289
34.984	-11.5387	-0.00088798
23.1022	-14.1983	-0.00482265
11.0303	-18.2282	-0.0091051
-5.50983	-25.5026	-0.0148021
-25.5116	-34.8379	-0.0214046
-43.4057	-42.5478	-0.0264282
-58.2127	-49.9169	-0.0295006
-64.1374	-52.704	-0.030169
-74.7644	-56.27	-0.0321918
-87.8538	-60.1434	-0.0343176
-101.062	-64.1787	-0.0366971
-113.198	-67.9151	-0.0380346
-124.593	-70.5233	-0.0399755
-134.232	-72.7404	-0.0414806
-141.019	-74.488	-0.0424201
-144.172	-75.3005	-0.0429532
-143.439	-75.351	-0.0421677
-138.114	-74.2744	-0.0407656
-128.565	-71.4309	-0.0391203
-117.29	-66.8355	-0.0378831
-106.3	-63.2567	-0.0355826
-94.1616	-62.6774	-0.0330688
-79.2706	-62.7415	-0.031238
-59.495	-62.9822	-0.027358
-29.7874	-57.597	-0.0218411
-5.17189	-27.9281	-0.036317
