 		 Inside Smooth Trajectory Method
  			(x, y, angle values Respectively)

-6.83828	4.57328	-0.00531144
-6.66222	5.24354	-0.00601023
-6.25375	5.75828	-0.00670689
-5.54841	6.1243	-0.00739159
-4.47248	6.34683	-0.00803388
-2.9575	6.41951	-0.00863099
-1.01284	6.37666	-0.0091916
1.33532	6.23637	-0.009701
4.05318	6.02464	-0.0101881
7.11443	5.73151	-0.0106491
10.5963	5.36789	-0.0110776
15.3234	5.20037	-0.012026
21.0922	4.9077	-0.0129305
27.9404	4.53274	-0.0137734
35.6652	4.04644	-0.0145744
44.1164	3.4609	-0.0152966
53.1894	2.79693	-0.0159382
62.8806	2.08525	-0.0164783
73.1727	1.28783	-0.0168579
83.8143	0.395329	-0.0171151
94.8896	-0.543576	-0.0172548
106.408	-1.45947	-0.0172822
118.346	-2.26419	-0.0171698
130.873	-2.70822	-0.0169166
143.881	-2.63417	-0.0164742
156.974	-2.20055	-0.0158607
169.909	-1.46442	-0.0151195
182.47	-0.528573	-0.0142884
194.546	0.543489	-0.0134182
206.086	1.79871	-0.0125078
216.922	3.1897	-0.0115711
226.826	4.66372	-0.0106122
235.494	6.17708	-0.00961571
242.776	7.73933	-0.00860689
248.618	9.30297	-0.00761272
253.155	10.8422	-0.00658286
256.439	12.3122	-0.00552769
258.241	13.6341	-0.00445925
258.457	14.7529	-0.00337853
257.271	15.7084	-0.00235946
254.985	16.4977	-0.00139721
251.645	17.123	-0.000492641
247.268	17.5519	0.000331054
241.697	17.6829	0.00101141
234.41	17.2056	0.00145576
225.605	16.0698	0.00159604
215.746	14.5877	0.00142709
205.059	12.9055	0.000989365
193.574	11.1272	0.000302477
181.479	9.35152	-0.000550162
168.951	7.57931	-0.00150857
156.265	5.93979	-0.00252017
143.588	4.54105	-0.00357112
131.02	3.43926	-0.00467288
118.654	2.66382	-0.00584796
106.574	2.20928	-0.00712474
94.8667	2.04664	-0.00852422
83.6846	2.1195	-0.0100159
73.4444	2.46666	-0.0115882
64.2973	3.04904	-0.0132231
56.1449	3.76965	-0.0148475
48.9528	4.60856	-0.0164534
42.496	5.42481	-0.0180045
36.713	6.05488	-0.0194148
31.7354	6.44024	-0.0205922
27.9164	6.18642	-0.0213516
25.0454	5.50868	-0.0217547
22.9938	4.72302	-0.0218637
21.7043	3.77891	-0.0216597
21.4947	2.60074	-0.0210443
22.2545	1.19604	-0.0200514
23.7854	-0.46484	-0.0187888
25.8924	-2.3606	-0.0174036
28.4204	-4.46751	-0.0159724
31.3326	-6.79885	-0.0144852
34.592	-9.30506	-0.0129365
38.1194	-11.9446	-0.0112747
41.8719	-14.6482	-0.00951
45.7243	-17.3395	-0.00768692
49.49	-19.9889	-0.00580765
52.9969	-22.5469	-0.00390339
56.0971	-24.9011	-0.00206817
58.6821	-26.9828	-0.000325634
60.7779	-28.7473	0.0012875
62.3474	-30.0626	0.00268856
63.3583	-30.8961	0.0038327
63.6679	-30.8387	0.00456971
63.2633	-30.2935	0.00493638
62.102	-29.778	0.00497797
59.9394	-29.4598	0.00460307
56.4244	-29.3691	0.00368905
51.6528	-29.4703	0.00229447
45.8155	-29.7749	0.000577735
39.395	-30.148	-0.00124494
32.2585	-30.7052	-0.00318155
24.3434	-31.4726	-0.00524124
15.6704	-32.5113	-0.00743303
6.33785	-33.8258	-0.0097291
-3.59981	-35.3888	-0.0121398
-14.0078	-37.1974	-0.0146266
-24.6834	-39.2638	-0.0171568
-35.3538	-41.5523	-0.0197035
-45.7609	-44.033	-0.0221701
-55.6169	-46.6672	-0.0245042
-64.6897	-49.3134	-0.0266883
-72.8707	-51.8985	-0.0287083
-80.1077	-54.3896	-0.03051
-86.2575	-56.8248	-0.0320424
-91.1324	-59.1364	-0.0333003
-94.4907	-61.2675	-0.0341695
-95.6468	-62.7958	-0.0345047
-94.6782	-62.4668	-0.0352148
-91.3036	-61.431	-0.0352634
-86.0347	-59.9042	-0.0347953
-79.6399	-58.294	-0.0340639
-71.7817	-56.5228	-0.0331305
-62.3135	-54.514	-0.0321265
-51.3743	-52.2385	-0.0310436
-39.4487	-49.7819	-0.0299535
-26.9958	-47.2539	-0.0287901
-14.1311	-44.6959	-0.0275721
